,"doc_std_name","doc_std_name_id","check","orbis_id","orbis_name","name_type_x","number_patents","elastic_score","levensthein_score","jaro_winkler_score","ratcliff_obershelp_score","pam_score","query","guo_bvd_id","guo_name"
415,"CLP POWER HONG KONG LTD",11526587,"n","HK0005647873","MERIAL HONG KONG LIMITED","original",7,14,68,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
538,"ALCOA GLOBAL FASTENERS INC",104762,"x","US126604146L","ALCOA POWER GENERATING INC","original",7,13,58,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
539,"ALCOA GLOBAL FASTENERS INC",104762,"x","US126604146L","ALCOA POWER GENERATING INC","original",7,13,58,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
599,"CEPHALON AUSTRALIA PTY LTD",995041,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",7,13,71,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
608,"BIZPAC AUSTRALIA PTY LTD",1742348,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",7,13,74,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
672,"CRYOVAC AUSTRALIA PTY LTD",573726,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",7,13,72,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
735,"FERMISCAN AUSTRALIA PTY LTD",319725,"n","AU110199169","CHEMINOVA AUSTRALIA PTY LIMITED","original",7,12,76,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
736,"FERMISCAN AUSTRALIA PTY LTD",319725,"n","AU110199169","CHEMINOVA AUSTRALIA PTY LIMITED","original",7,12,76,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
778,"MAX INTERNATIONAL LLC",1025899,"n","US319116437L","FMC INTERNATIONAL LLC","original",7,11,81,1,1,71,"restricted_to_jurisdiction","US940479804","FMC CORP"
808,"BEPEX INTERNATIONAL LLC",2048308,"n","US319116437L","FMC INTERNATIONAL LLC","original",7,11,82,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
860,"MDS CANADA INC",422450,"n","CA133235658L","MERIAL CANADA INC","original",7,11,77,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
861,"MDS CANADA INC",422450,"n","CA133235658L","MERIAL CANADA INC","original",7,11,77,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
966,"SRA INTERNATIONAL INC",1871159,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",7,10,81,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
92,"SKF SVERIGE AB",523094,"n","SE5565470258","METABO SVERIGE AB","original",6,17,71,1,1,75,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
181,"TCTM HONG KONG LTD",19232536,"n","HK0005647873","MERIAL HONG KONG LIMITED","original",6,16,71,1,1,74,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
210,"JELD WEN SVERIGE AB",57712,"n","SE5565470258","METABO SVERIGE AB","original",6,16,67,1,1,72,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
407,"EASTERN ELEVATORS PTY LTD",904057,"n","AU062841007","EASTERN ALUMINIUM PTY LTD","original",6,14,60,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
408,"EASTERN ELEVATORS PTY LTD",904057,"n","AU062841007","EASTERN ALUMINIUM PTY LTD","original",6,14,60,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
522,"Chrysalis Pharma AG",149883301,"n","CHCHE107308273","ORION PHARMA AG","original",6,13,71,1,1,68,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
545,"HAIER DEUTSCHLAND GMBH",22063094,"n","DE6190197069","BOEHRINGER INGELHEIM DEUTSCHLAND GMBH","original",6,13,64,1,1,66,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
644,"PAPER AUSTRALIA PTY LTD",91411,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",6,13,76,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
677,"IOMEDIA PARTNERS LLC",11600784,"n","US266514512L","FMC PARTNERS LLC","original",6,13,78,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
731,"IBFB PHARMA GMBH",948965,"n","DE2150198453","ORION PHARMA GMBH","original",6,12,79,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
746,"PME IP AUSTRALIA PTY LTD",4059802,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",6,12,74,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
856,"SIDEL CANADA INC",3360044,"n","CA132753695L","MERIAL CANADA INC","original",6,11,79,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
857,"SIDEL CANADA INC",3360044,"n","CA132753695L","MERIAL CANADA INC","original",6,11,79,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
868,"HONDA CANADA INC",487179,"n","CA163220547L","CHEMINOVA CANADA INC","original",6,11,78,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
869,"HONDA CANADA INC",487179,"n","CA163220547L","CHEMINOVA CANADA INC","original",6,11,78,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
890,"CORUS PHARMA INC",700520,"n","US*290244220","ORION PHARMA INC .","original",6,11,75,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
926,"THANE INTERNATIONAL INC",2910323,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",6,10,78,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
929,"ZEFON INTERNATIONAL INC",3020362,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",6,10,82,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
977,"OMNI INTERNATIONAL INC",2686673,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",6,10,79,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
1,"STRYKER PUERTO RICO LTD",748996,"n","US170280603L","FMC PUERTO RICO","original",5,23,63,1,1,78,"restricted_to_jurisdiction","US940479804","FMC CORP"
24,"SOFTWIN SRL ROMANIA",21783534,"n","RO28760766","ORION PHARMA ROMANIA SRL","original",5,19,51,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
63,"NORISOL NORGE AS",1096114,"n","NO979964625","METABO NORGE AS","original",5,18,52,1,1,69,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
66,"PIPELIFE NORGE AS",342776,"n","NO979964625","METABO NORGE AS","original",5,18,50,1,1,68,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
77,"SYMCEL SVERIGE AB",1779612,"n","SE5565470258","METABO SVERIGE AB","original",5,17,59,1,1,74,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
86,"ITW SVERIGE AB",740671,"n","SE5565470258","METABO SVERIGE AB","original",5,17,77,1,1,78,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
123,"VUBITES INDIA PRIVATE LTD",2008577,"n","IN0002900316","FMC INDIA PRIVATE LIMITED","original",5,16,68,1,1,74,"restricted_to_jurisdiction","US940479804","FMC CORP"
192,"VEST WOOD SVERIGE AB",57714,"n","SE5565470258","METABO SVERIGE AB","original",5,16,54,1,1,71,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
226,"ABACO MACHINES AUSTRALASIA PTY",825925,"n","AU095326891","FMC AUSTRALASIA PTY LTD","original",5,15,68,1,1,72,"restricted_to_jurisdiction","US940479804","FMC CORP"
233,"NORRES BETEILIGUNGS GMBH",19196032,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",5,15,76,1,1,77,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
234,"NORRES BETEILIGUNGS GMBH",19196032,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",5,15,76,1,1,77,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
249,"TRAVELTAINER BETEILIGUNGS GMBH",409389,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",5,15,69,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
250,"TRAVELTAINER BETEILIGUNGS GMBH",409389,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",5,15,69,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
401,"TRENCH AUSTRIA GMBH",812785,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",5,14,60,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
402,"TRENCH AUSTRIA GMBH",812785,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",5,14,60,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
453,"REYNOLDS FOILS INC",2366477,"n","US2-54919","REYNOLDS BECANCOUR INC","original",5,14,70,1,1,71,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
454,"REYNOLDS FOILS INC",2366477,"n","US2-54919","REYNOLDS BECANCOUR INC","original",5,14,70,1,1,71,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
463,"ACC GERMANY GMBH",125035,"n","DE2012464265","AVICEM GERMANY MANAGEMENT GMBH","original",5,14,65,1,1,67,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
470,"PHARMA MARINE AS",1869739,"n","NO967727970","ORION PHARMA AS","original",5,14,84,1,1,69,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
502,"Starfire Industries LLC",111674110,"n","US228178586L","FMC INDUSTRIES LLC","original",5,14,68,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
523,"AZAD PHARMA AG",1106543,"n","CHCHE107308273","ORION PHARMA AG","original",5,13,69,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
553,"BELDEN DEUTSCHLAND GMBH",927,"n","DE6190197069","BOEHRINGER INGELHEIM DEUTSCHLAND GMBH","original",5,13,67,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
601,"CAVOTEC AUSTRALIA PTY LTD",17174854,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",5,13,72,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
620,"UNIKA AUSTRALIA PTY LTD",1834444,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",5,13,76,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
642,"CALFARME AUSTRALIA PTY LTD",5268851,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",5,13,71,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
657,"SSH AUSTRALIA PTY LTD",5288588,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",5,13,79,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
741,"M I AUSTRALIA PTY LTD",1952505,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",5,12,79,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
793,"VORTEX INTERNATIONAL LLC",2947841,"n","US319116437L","FMC INTERNATIONAL LLC","original",5,11,76,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
799,"CALIBRE INTERNATIONAL LLC",2753373,"n","US319116437L","FMC INTERNATIONAL LLC","original",5,11,83,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
813,"HEDEEN INTERNATIONAL LLC",4340507,"n","US319116437L","FMC INTERNATIONAL LLC","original",5,11,80,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
858,"PARMALAT CANADA INC",4218215,"n","CA132729908L","MERIAL CANADA INC","original",5,11,78,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
859,"PARMALAT CANADA INC",4218215,"n","CA132729908L","MERIAL CANADA INC","original",5,11,78,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
866,"ZEDI CANADA INC",18733409,"n","CA132729908L","MERIAL CANADA INC","original",5,11,81,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
867,"ZEDI CANADA INC",18733409,"n","CA132729908L","MERIAL CANADA INC","original",5,11,81,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
878,"EMD CHEMICALS INC",2783972,"n","US132427712L","BI CHEMICALS INC","original",5,11,79,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
879,"EMD CHEMICALS INC",2783972,"n","US132427712L","BI CHEMICALS INC","original",5,11,79,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
888,"OCULARIS PHARMA INC",272885,"n","US*290244220","ORION PHARMA INC .","original",5,11,80,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
893,"INCYTE PHARMA INC",417708,"n","US*290244220","ORION PHARMA INC .","original",5,11,79,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
914,"QUOIN INTERNATIONAL INC",3730686,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",5,10,78,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
917,"TITAN INTERNATIONAL INC",1655661,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",5,10,78,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
924,"MIDCO INTERNATIONAL INC",2948112,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",5,10,78,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
931,"SAFESHIP INTERNATIONAL INC",15655657,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",5,10,77,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
956,"PROMET INTERNATIONAL INC",2342352,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",5,10,80,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
963,"NUKOTE INTERNATIONAL INC",2520451,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",5,10,80,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
10,"ST JUDE MEDICAL PUERTO RICO",1079095,"n","US170280603L","FMC PUERTO RICO","original",4,21,67,1,1,80,"restricted_to_jurisdiction","US940479804","FMC CORP"
58,"HYTORC NORGE AS",17204374,"n","NO979964625","METABO NORGE AS","original",4,18,73,1,1,76,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
130,"GENEPHARM INDIA PRIVATE LTD",2005929,"n","IN0002900316","FMC INDIA PRIVATE LIMITED","original",4,16,73,1,1,76,"restricted_to_jurisdiction","US940479804","FMC CORP"
143,"EVONIK SOLAR NORGE AS",2090360,"n","NO979964625","METABO NORGE AS","original",4,16,61,1,1,70,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
144,"OLDENBURG AUSTRALASIA PTY LTD",746725,"n","AU095326891","FMC AUSTRALASIA PTY LTD","original",4,16,73,1,1,76,"restricted_to_jurisdiction","US940479804","FMC CORP"
227,"MIKOHN GAMING AUSTRALASIA PTY",4871797,"n","AU095326891","FMC AUSTRALASIA PTY LTD","original",4,15,69,1,1,72,"restricted_to_jurisdiction","US940479804","FMC CORP"
285,"DKT VERWALTUNGS GMBH",2097603,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",4,15,60,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
318,"HAWA VALVES INDIA PRIVATE LTD",4537317,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",4,15,67,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
319,"HAWA VALVES INDIA PRIVATE LTD",4537317,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",4,15,67,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
334,"CIRCUIT FOIL LUXEMBOURG TRADING SARL",23016189,"n","LULB189601","FMC LUXEMBOURG HOLDINGS SARL","original",4,15,62,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
335,"M I SWACO NORGE AS",1793437,"n","NO979964625","METABO NORGE AS","original",4,15,61,1,1,67,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
336,"ENJOY SALES AB",291074,"n","SE5560209941","DELAVAL SALES AB","original",4,15,67,1,1,66,"restricted_to_jurisdiction","SE5562586981","DELAVAL INTERNATIONAL AB"
342,"SHUFFLE MASTER AUSTRALASIA PTY LTD",980017,"n","AU095326891","FMC AUSTRALASIA PTY LTD","original",4,15,67,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
354,"ALFA LAVAL INC",636106,"n","US145063937L","DE LAVAL INC","original",4,14,77,1,1,72,"restricted_to_jurisdiction","SE5562586981","DELAVAL INTERNATIONAL AB"
371,"CERATIZIT AUSTRIA GMBH",235374,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",4,14,65,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
372,"CERATIZIT AUSTRIA GMBH",235374,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",4,14,65,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
444,"OBEN NEW ZEALAND LTD",886082,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",4,14,70,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
451,"REYNOLDS TECHNOLOGIES INC",1543263,"n","US2-54919","REYNOLDS BECANCOUR INC","original",4,14,51,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
452,"REYNOLDS TECHNOLOGIES INC",1543263,"n","US2-54919","REYNOLDS BECANCOUR INC","original",4,14,51,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
468,"REYNOLDS AND REYNOLDS COMPANY",1135212,"n","US540355135","REYNOLDS METALS CO","original",4,14,64,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
477,"COHNEN BETEILIGUNGS GMBH & CO",616322,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",4,14,66,1,1,67,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
478,"COHNEN BETEILIGUNGS GMBH & CO",616322,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",4,14,66,1,1,67,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
488,"GEORG FISCHER VERWALTUNGS GMBH",1964102,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",4,14,66,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
518,"SPIRIG PHARMA AG",1534870,"n","CHCHE107308273","ORION PHARMA AG","original",4,13,58,1,1,69,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
520,"CIMEX PHARMA AG",168610,"n","CHCHE107308273","ORION PHARMA AG","original",4,13,73,1,1,72,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
524,"NITEC PHARMA AG",281009,"n","CHCHE107308273","ORION PHARMA AG","original",4,13,73,1,1,72,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
527,"ROUTE 66 SWITZERLAND GMBH",1836476,"n","CHCHE402207577","FMC SWITZERLAND II GMBH","original",4,13,75,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
528,"ROUTE 66 SWITZERLAND GMBH",1836476,"n","CHCHE402207577","FMC SWITZERLAND II GMBH","original",4,13,75,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
534,"ORION ENTPR INC",3799130,"n","US*290244220","ORION PHARMA INC .","original",4,13,58,1,1,68,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
569,"BELLOTA HERRAMIENTAS SA",22621138,"n","ESA28310480","HERRAMIENTAS METABO SAU","original",4,13,65,1,1,67,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
575,"AUDIO LAB AUSTRIA GMBH",2020084,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",4,13,70,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
576,"AUDIO LAB AUSTRIA GMBH",2020084,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",4,13,70,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
604,"HOSPIRA AUSTRALIA PTY LTD",1072409,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",4,13,72,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
633,"AUSTRALIA PTY LTD KK",397404,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",4,13,81,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
639,"AEROTECH AUSTRALIA PTY LTD",4872524,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",4,13,83,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
772,"EAGLE INTERNATIONAL LLC",4352747,"n","US319116437L","FMC INTERNATIONAL LLC","original",4,11,82,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
777,"SERIES INTERNATIONAL LLC",3346146,"n","US319116437L","FMC INTERNATIONAL LLC","original",4,11,76,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
873,"FIGIE LUXEMBOURG SA",4364368,"n","LULB189617","FMC LUXEMBOURG SARL","original",4,11,79,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
916,"LENTEK INTERNATIONAL INC",2432964,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",4,10,80,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
930,"JOCKEY INTERNATIONAL INC",31268,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",4,10,80,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
939,"MES INTERNATIONAL INC",164768,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",4,10,85,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
948,"TREBOR INTERNATIONAL INC",2251902,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",4,10,84,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
951,"ENEFCO INTERNATIONAL INC",999160,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",4,10,68,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
978,"SCANLAN INTERNATIONAL INC",2212986,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",4,10,78,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
37,"Basell Poliolefine Italia s.r.l",111181092,"n","IT08144060152","ALTHALLER ITALIA S.R.L .","original",3,18,60,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
38,"Basell Poliolefine Italia s.r.l",111181092,"n","IT08144060152","ALTHALLER ITALIA S.R.L .","original",3,18,60,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
52,"SILICIUM BECANCOUR INC",1684134,"n","CA149089317L","ALUMINERIE DE BECANCOUR INC","original",3,18,53,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
124,"SMARTRON INDIA PRIVATE LTD",23805196,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",3,16,67,1,1,74,"restricted_to_jurisdiction","US940479804","FMC CORP"
125,"SMARTRON INDIA PRIVATE LTD",23805196,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",3,16,67,1,1,74,"restricted_to_jurisdiction","US940479804","FMC CORP"
131,"VALEO INDIA PRIVATE LTD",21888601,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",3,16,71,1,1,76,"restricted_to_jurisdiction","US940479804","FMC CORP"
132,"VALEO INDIA PRIVATE LTD",21888601,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",3,16,71,1,1,76,"restricted_to_jurisdiction","US940479804","FMC CORP"
137,"LMBV LAUSITZER UND MITTELDEUTSCHE BERGBAU-VERWALTUNGSGESELLSCHAFT MBH",24204800,"n","DE2150647618","CHEMINOVA VERWALTUNGSGESELLSCHAFT MBH","original",3,16,58,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
142,"NORGE ETTER OLJEN AS",17682891,"n","NO979964625","METABO NORGE AS","original",3,16,63,1,0,67,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
148,"Agrimond USA Corporation",108793478,"n","USLEI798399","BOEHRINGER INGELHEIM USA CORPORATION","original",3,16,63,1,1,72,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
149,"Agrimond USA Corporation",108793478,"n","USLEI798399","BOEHRINGER INGELHEIM USA CORPORATION","original",3,16,63,1,1,72,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
161,"HUHTAMAKI HONG KONG LTD",11526196,"n","HK0005647873","MERIAL HONG KONG LIMITED","original",3,16,55,1,1,70,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
177,"NISHIHARA HONG KONG COMPANY",18915145,"n","HK0005647873","MERIAL HONG KONG LIMITED","original",3,16,55,1,1,66,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
186,"AIR NEW ZEALAND",18252803,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",3,16,68,1,1,71,"restricted_to_jurisdiction","US940479804","FMC CORP"
194,"STEAMEX GROUP SVERIGE AB",23015362,"n","SE5565470258","METABO SVERIGE AB","original",3,16,63,1,1,73,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
255,"2KB BETEILIGUNGS GMBH",23395908,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",3,15,65,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
256,"2KB BETEILIGUNGS GMBH",23395908,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",3,15,65,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
292,"NOATZKE VERWALTUNGS GMBH",21968267,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",3,15,62,1,1,70,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
295,"METIBA VERWALTUNGS GMBH",2118918,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",3,15,63,1,1,70,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
